state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,lgd_village_code,lgd_gp_code,gp_name,district_name,subdistrict_name
Karnataka,Chitradurga,Challakere,65201,Belagere,696750,SIDDESHWARA BADAVANE,605412,SIDDESHWARA BADAVANE,Chitradurga,Chitradurga.xls,825,605412.0,,,Chitradurga,Challakere
Karnataka,Chitradurga,Holalkere,65344,Tekalavatti,663713,T Gollarahalli,605693,Gollarahalli,Chitradurga,Chitradurga.xls,857,605693.0,,,Chitradurga,Holalkere
Karnataka,Chitradurga,Challakere,65188,CHOWLUR,701273,VISHWANATHAPURA,605395,VISHWANATHAPURA,Chitradurga,Chitradurga.xls,933,605395.0,,,Chitradurga,Challakere
Karnataka,Dakshina Kannada,Mangaluru,61538,Bajpe,148679,Bajpe,617500,Bajpe (CT),Dakshina Kannada,Dakshina Kannada.xls,43,617500.0,,,Dakshina Kannada,Mangaluru
Karnataka,Dakshina Kannada,KADABA,61590,KADABA,148795,KADABA,617727,Kadaba,Dakshina Kannada,Dakshina Kannada.xls,115,617727.0,,,Dakshina Kannada,Kadaba
Karnataka,Dakshina Kannada,Mangaluru,61570,Malavooru,148756,Kenjaru,617502,Kenjar (CT),Dakshina Kannada,Dakshina Kannada.xls,152,617502.0,,,Dakshina Kannada,Mangaluru
Karnataka,Dakshina Kannada,Mangaluru,299992,Kateelu,148722,Kilenjaru,617447,Kilenjur,Dakshina Kannada,Dakshina Kannada.xls,156,617447.0,,,Dakshina Kannada,Mulki
Karnataka,Dakshina Kannada,KADABA,61590,KADABA,148796,KODIMBALA,617728,Kodimbala,Dakshina Kannada,Dakshina Kannada.xls,162,617728.0,,,Dakshina Kannada,Kadaba
Karnataka,Dakshina Kannada,Mangaluru,299992,Kateelu,148723,Kondemula,617449,Kondemula,Dakshina Kannada,Dakshina Kannada.xls,181,617449.0,,,Dakshina Kannada,Mulki
Karnataka,Dakshina Kannada,Mangaluru,61570,Malavooru,148757,Malavooru,617480,Malavoor,Dakshina Kannada,Dakshina Kannada.xls,207,617480.0,,,Dakshina Kannada,Mangaluru
Karnataka,Dakshina Kannada,Mangaluru,61551,Mannabettu,148719,Mannabettu,617442,Menna Bettu,Dakshina Kannada,Dakshina Kannada.xls,215,617442.0,,,Dakshina Kannada,Mulki
Karnataka,Dakshina Kannada,Mangaluru,299992,Kateelu,148721,Nadugodu,617448,Nadugodu,Dakshina Kannada,Dakshina Kannada.xls,241,617448.0,,,Dakshina Kannada,Mulki
Karnataka,Dakshina Kannada,Mangaluru,61557,Someshwara,148733,Someshwara,617517,Someshwar (CT),Dakshina Kannada,Dakshina Kannada.xls,329,617517.0,,,Dakshina Kannada,Ullala
Karnataka,Dakshina Kannada,Mangaluru,61544,Kinnigoli,148701,Talippady,617499,Talipady (CT),Dakshina Kannada,Dakshina Kannada.xls,335,617499.0,,,Dakshina Kannada,Mulki
Karnataka,Dakshina Kannada,Mangaluru,61544,Kinnigoli,148702,Yelathuru,617439,Elathur,Dakshina Kannada,Dakshina Kannada.xls,363,617439.0,,,Dakshina Kannada,Mulki
Karnataka,Davangere,Honnali,64821,Haveli Kadadakatte,168010,Devanayakanahalli,606824,Devanayakanahalli,Davangere,Davangere.xls,135,606824.0,,,Davanagere,Honnali
Karnataka,Davangere,Harihara,64795,Kondajji,167951,GANGANARASI,606276,Ganganarasi,Davangere,Davangere.xls,174,606276.0,,,Davanagere,Harihar
Karnataka,Davangere,Honnali,64821,Haveli Kadadakatte,168007,Hiremata,606820,Hiremata,Davangere,Davangere.xls,260,606820.0,,,Davanagere,Honnali
Karnataka,Hassan,Hassan,62299,B.katihalli,152693,B.katihalli,616230,B.Kattihalli (OG),Hassan,Hassan.xls,143,616230.0,,,Hassan,Hassan
